Time,Humidity
8:34 AM, Humidity: 73.00 % 
8:34 AM, Humidity: 73.00 % 
8:34 AM, Humidity: 73.10 % 
8:34 AM, Humidity: 73.20 % 
8:34 AM, Humidity: 73.20 % 
8:34 AM, Humidity: 73.20 % 
8:34 AM, Humidity: 73.30 % 
8:34 AM, Humidity: 73.40 % 
8:34 AM, Humidity: 73.50 % 
8:34 AM, Humidity: 73.40 % 
8:34 AM, Humidity: 73.50 % 
8:34 AM, Humidity: 73.50 % 
8:34 AM, Humidity: 73.60 % 
8:34 AM, Humidity: 73.50 % 
8:34 AM, Humidity: 73.60 % 
8:34 AM, Humidity: 73.60 % 
8:34 AM, Humidity: 73.70 % 
8:34 AM, Humidity: 73.60 % 
8:34 AM, Humidity: 73.70 % 
8:34 AM, Humidity: 73.70 % 
8:34 AM, Humidity: 73.70 % 
8:34 AM, Humidity: 73.80 % 
8:34 AM, Humidity: 73.90 % 
8:34 AM, Humidity: 73.80 % 
8:34 AM, Humidity: 73.90 % 
8:34 AM, Humidity: 73.90 % 
8:34 AM, Humidity: 73.90 % 
8:34 AM, Humidity: 73.90 % 
8:34 AM, Humidity: 73.90 % 
8:34 AM, Humidity: 74.00 % 
8:34 AM, Humidity: 74.00 % 
8:34 AM, Humidity: 74.10 % 
8:34 AM, Humidity: 74.10 % 
8:34 AM, Humidity: 74.20 % 
8:34 AM, Humidity: 74.10 % 
8:34 AM, Humidity: 74.10 % 
8:34 AM, Humidity: 74.20 % 
8:34 AM, Humidity: 74.20 % 
8:34 AM, Humidity: 74.20 % 
8:34 AM, Humidity: 74.20 % 
8:34 AM, Humidity: 74.20 % 
8:34 AM, Humidity: 74.30 % 
8:34 AM, Humidity: 74.40 % 
8:34 AM, Humidity: 74.40 % 
8:34 AM, Humidity: 74.40 % 
8:34 AM, Humidity: 74.50 % 
8:34 AM, Humidity: 74.50 % 
8:34 AM, Humidity: 74.60 % 
8:34 AM, Humidity: 74.50 % 
8:34 AM, Humidity: 74.60 % 
8:34 AM, Humidity: 74.50 % 
8:34 AM, Humidity: 74.70 % 
8:34 AM, Humidity: 74.60 % 
8:34 AM, Humidity: 74.70 % 
8:34 AM, Humidity: 74.60 % 
8:34 AM, Humidity: 74.60 % 
8:34 AM, Humidity: 74.60 % 
8:34 AM, Humidity: 74.40 % 
8:34 AM, Humidity: 74.40 % 
8:35 AM, Humidity: 74.50 % 
8:35 AM, Humidity: 74.50 % 
8:35 AM, Humidity: 74.40 % 
8:35 AM, Humidity: 74.50 % 
8:35 AM, Humidity: 74.50 % 
8:35 AM, Humidity: 74.30 % 
8:35 AM, Humidity: 74.40 % 
8:35 AM, Humidity: 74.40 % 
8:35 AM, Humidity: 74.20 % 
8:35 AM, Humidity: 74.30 % 
8:35 AM, Humidity: 74.20 % 
8:35 AM, Humidity: 74.00 % 
8:35 AM, Humidity: 73.80 % 
8:35 AM, Humidity: 73.60 % 
8:35 AM, Humidity: 73.30 % 
8:35 AM, Humidity: 73.50 % 
8:35 AM, Humidity: 73.50 % 
8:35 AM, Humidity: 73.60 % 
8:35 AM, Humidity: 73.50 % 
8:35 AM, Humidity: 73.50 % 
8:35 AM, Humidity: 73.50 % 
8:35 AM, Humidity: 73.50 % 
8:35 AM, Humidity: 73.60 % 
8:35 AM, Humidity: 74.30 % 
8:35 AM, Humidity: 74.30 % 
8:35 AM, Humidity: 74.90 % 
8:35 AM, Humidity: 75.40 % 
8:35 AM, Humidity: 75.00 % 
8:35 AM, Humidity: 77.00 % 
8:35 AM, Humidity: 75.90 % 
8:35 AM, Humidity: 75.40 % 
8:35 AM, Humidity: 74.70 % 
8:35 AM, Humidity: 74.20 % 
8:35 AM, Humidity: 73.80 % 
8:35 AM, Humidity: 73.70 % 
8:35 AM, Humidity: 73.60 % 
8:35 AM, Humidity: 73.20 % 
8:35 AM, Humidity: 73.40 % 
8:35 AM, Humidity: 73.10 % 
8:35 AM, Humidity: 72.80 % 
8:35 AM, Humidity: 72.00 % 
8:35 AM, Humidity: 71.90 % 
8:35 AM, Humidity: 71.80 % 
8:35 AM, Humidity: 72.90 % 
8:35 AM, Humidity: 72.80 % 
8:35 AM, Humidity: 82.70 % 
8:35 AM, Humidity: 79.10 % 
8:35 AM, Humidity: 75.70 % 
8:35 AM, Humidity: 74.30 % 
8:35 AM, Humidity: 73.50 % 
8:35 AM, Humidity: 72.80 % 
8:35 AM, Humidity: 72.10 % 
8:35 AM, Humidity: 75.40 % 
8:35 AM, Humidity: 71.50 % 
8:35 AM, Humidity: 70.30 % 
8:35 AM, Humidity: 69.90 % 
8:35 AM, Humidity: 69.10 % 
8:35 AM, Humidity: 68.50 % 
8:35 AM, Humidity: 68.60 % 
8:35 AM, Humidity: 68.40 % 
8:36 AM, Humidity: 68.10 % 
8:36 AM, Humidity: 67.90 % 
8:36 AM, Humidity: 67.30 % 
8:36 AM, Humidity: 67.10 % 
8:36 AM, Humidity: 66.70 % 
8:36 AM, Humidity: 66.90 % 
8:36 AM, Humidity: 66.70 % 
8:36 AM, Humidity: 66.60 % 
8:36 AM, Humidity: 66.50 % 
8:36 AM, Humidity: 66.50 % 
8:36 AM, Humidity: 66.50 % 
8:36 AM, Humidity: 66.40 % 
8:36 AM, Humidity: 66.30 % 
8:36 AM, Humidity: 66.20 % 
8:36 AM, Humidity: 66.30 % 
8:36 AM, Humidity: 66.40 % 
8:36 AM, Humidity: 65.90 % 
8:36 AM, Humidity: 66.20 % 
8:36 AM, Humidity: 66.30 % 
8:36 AM, Humidity: 65.80 % 
8:36 AM, Humidity: 65.50 % 
8:36 AM, Humidity: 65.60 % 
8:36 AM, Humidity: 65.50 % 
8:36 AM, Humidity: 65.70 % 
8:36 AM, Humidity: 65.80 % 
8:36 AM, Humidity: 65.80 % 
8:36 AM, Humidity: 66.20 % 
8:36 AM, Humidity: 66.30 % 
8:36 AM, Humidity: 66.30 % 
8:36 AM, Humidity: 66.30 % 
8:36 AM, Humidity: 66.40 % 
8:36 AM, Humidity: 66.60 % 
8:36 AM, Humidity: 66.40 % 
8:36 AM, Humidity: 66.30 % 
8:36 AM, Humidity: 66.30 % 
8:36 AM, Humidity: 66.20 % 
8:36 AM, Humidity: 66.40 % 
8:36 AM, Humidity: 66.20 % 
8:36 AM, Humidity: 66.30 % 
8:36 AM, Humidity: 66.60 % 
8:36 AM, Humidity: 66.70 % 
8:36 AM, Humidity: 66.80 % 
8:36 AM, Humidity: 66.80 % 
8:36 AM, Humidity: 67.00 % 
8:36 AM, Humidity: 67.20 % 
8:36 AM, Humidity: 67.40 % 
8:36 AM, Humidity: 67.40 % 
8:36 AM, Humidity: 67.60 % 
8:36 AM, Humidity: 67.70 % 
8:36 AM, Humidity: 68.00 % 
8:36 AM, Humidity: 68.00 % 
8:36 AM, Humidity: 68.10 % 
8:36 AM, Humidity: 68.20 % 
8:36 AM, Humidity: 68.30 % 
8:36 AM, Humidity: 68.40 % 
8:36 AM, Humidity: 68.50 % 
8:36 AM, Humidity: 68.60 % 
8:36 AM, Humidity: 68.80 % 
8:36 AM, Humidity: 68.90 % 
8:36 AM, Humidity: 69.10 % 
8:37 AM, Humidity: 69.10 % 
8:37 AM, Humidity: 69.40 % 
8:37 AM, Humidity: 69.50 % 
8:37 AM, Humidity: 69.60 % 
